,FSA,med_fulltime_income,income_100k_up,med_total_household_income,income_40k,occup_cat_snr_mgmt,occup_cat_busfin,occup_ind_realestate,work_loc_home,work_loc_workplace,work_loc_notfixed,school_uni_degree,school_hs,commute_start_noon,edu_field_science,edu_field_bus_admin,edu_field_health,edu_field_pers_protect_transp,commute_transp_carpass,commute_start_6am,commute_start_9am,condo,worktype_selfemp,indigenous_ppl,married_ppl,work_loc_foreign,can_citizen_ppl,non_citizen_ppl,TotalEV,TotalEV_Category
310,M5R,82000,0.2192999198381494,86000,0.0671832652593808,0.0238576936290414,0.1431461617742489,0.0257663091193648,0.2912547238233385,0.2026949650723365,0.0299652631980761,0.410543191968546,0.0650837882200252,0.0232851089819444,0.0251937244722678,0.1166164064587548,0.0440890178264686,0.0103065236477459,0.0097339390006489,0.0242394167271061,0.0608848341413138,0.2383822554396962,0.1427644386761843,0.0089704928045196,0.4250486696950032,0.0041989540787113,0.8447532160171012,0.1112722830858495,120.24277589036912,High
311,M5S,76500,0.1546210612627386,70000,0.0679395572215063,0.0125922455195033,0.115965795947054,0.0140564601147944,0.2817148881340049,0.1827339814923275,0.0225489047674827,0.4029518566241068,0.052711725430479,0.0222560618484245,0.0395337940728593,0.0963453203701534,0.0468548670493147,0.0076139158955136,0.0067353871383389,0.0184491039006676,0.0614970130022256,0.452100993528393,0.106594822537191,0.0058568583811643,0.3645894342274803,0.004099800866815,0.6758814571863653,0.2372027644371559,62.08269884034204,Medium
312,M5T,70500,0.0921633245824722,61600,0.0726135284589175,0.0069820700441266,0.1024967882477797,0.0136848572864882,0.2290118974473552,0.1899123052002457,0.0365860470312238,0.327878009272189,0.1139473831201474,0.0365860470312238,0.0287661285818019,0.0924426073842372,0.0477573591018265,0.0148019884935485,0.0053063732335362,0.0237390381500307,0.062559347595375,0.336777650210486,0.1005418086354242,0.0187119477182595,0.3264815952633637,0.0025135452158856,0.7778026029157125,0.2002457688655532,50.27090431771212,Medium
313,M5V,85000,0.2210742422219254,91000,0.0701028174656162,0.0176926158365602,0.2544565362531713,0.0231172386166377,0.4736947523033782,0.2108926425423955,0.0353017759380424,0.5841066898117239,0.0715215649619441,0.0232006943517158,0.0327146481506209,0.2355120843904393,0.0534116704499933,0.0156062224596074,0.0112665242355454,0.0266223794899185,0.0571671785285084,0.8182760489057457,0.110745760448658,0.0071771932167178,0.4035084791026839,0.0049238883696087,0.7523534517292029,0.2426892776071571,87.46161036186408,Medium
314,M6A,60000,0.0630026809651474,72500,0.0860142984807864,0.0042448614834673,0.0886952636282395,0.0158623771224307,0.1320375335120643,0.2593833780160858,0.0574173369079535,0.2383824843610366,0.1201966041108132,0.0705987488829311,0.0107238605898123,0.0902591599642538,0.0605451295799821,0.0156389633601429,0.025692582663092,0.0473637176050044,0.0507149240393208,0.3651943282668571,0.064343163538874,0.0042448614834673,0.371313672922252,0.001787310098302,0.781277926720286,0.2079982126899017,42.44861483467381,Low
315,M6B,61600,0.1023340576154762,86000,0.0839349547907759,0.0071844115791687,0.099004696151959,0.0196257096796803,0.1291441788743253,0.2525057825751735,0.055197308474101,0.2391883367211046,0.1103946169482021,0.0459101422863951,0.0150697413611831,0.0863881685007359,0.0534450129669867,0.0134926754047802,0.0212027756360832,0.0448587649821265,0.0573000630826382,0.2098022355975924,0.0813065115301044,0.0052568865213429,0.4331674493586598,0.0015770659564028,0.8104366720403728,0.1717249596972033,62.38172005326979,Medium
316,M6C,81000,0.171688127682627,91000,0.0723007042546985,0.0164603908821936,0.1212651581447681,0.0179189065299829,0.2400300037504688,0.2366962536983789,0.0375046880860107,0.3435846147435096,0.0893861732716589,0.0402133600033337,0.0170854690169604,0.0983456265366504,0.0481310163770471,0.0102096095345251,0.0150018752344043,0.030837187981831,0.0585489852898278,0.0644550617506535,0.1179314080926782,0.0097928907780139,0.450056257032129,0.001041796891278,0.8813601700212527,0.1108471892319873,101.67937658874028,High
317,M6E,61200,0.0720464918798429,82000,0.0911527438700774,0.0049092453030463,0.0878356862328839,0.0114106782719456,0.1389183738456639,0.2547500265364611,0.0866415454834943,0.2051268442840463,0.1293652478505466,0.0569207090542405,0.0116760428829211,0.0750981849060609,0.0427237023670523,0.016319923574992,0.0359569047871775,0.0705869865194777,0.0475002653646109,0.0349369280237447,0.0786806071542299,0.0090223967731663,0.444751087994905,0.0006634115274387,0.8055142766160704,0.1803152531578388,34.76276403778792,Low
318,M6G,79000,0.1513071895424836,91000,0.0735294117647058,0.0158496732026143,0.117156862745098,0.0158496732026143,0.2727124183006535,0.2063725490196078,0.040032679738562,0.3638888888888889,0.0933006535947712,0.0357843137254901,0.0183006535947712,0.0867647058823529,0.0341503267973856,0.0158496732026143,0.0129084967320261,0.02859477124183,0.0601307189542483,0.0404773536185358,0.1282679738562091,0.0089869281045751,0.434640522875817,0.0011437908496732,0.8797385620915033,0.0915032679738562,69.93464052287582,Medium
319,M6H,70000,0.1056482963640521,83000,0.0835810656300022,0.0078893208323805,0.1056482963640521,0.0109764463754859,0.2322204436313743,0.2204436313743425,0.0646009604390578,0.3146581294305968,0.1170820946718499,0.0413903498742282,0.0171506974616967,0.0791218842899611,0.0360164646695632,0.0176080493940086,0.0196661330894123,0.04241939172193,0.0585410473359249,0.1193384702123661,0.106105648296364,0.010633432426252,0.4407729247656071,0.0017150697461696,0.8593642808140864,0.1268008232334781,41.619025840384175,Low
